title,link,create_time,title_en
大型装备健康运行监测与数据分析平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498830&idx=1&sn=fc1a0b14f1cb91daa57c7031d1fe528c&chksm=cfb79b0bf8c0121d9f4a7ad759024ef41d0562a51e3c2b6b47d0334f261ff221879505aaef67#rd,2025/12/18 17:31,Large equipment health operation monitoring and data analysis platform
基于大数据云计算的公路建管系统项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498828&idx=2&sn=31f28f644f9f49e1d73aa06b54c8a277&chksm=cfb79b09f8c0121f141871e7ab96e8ba5d1e2967113372d7add5c6dfdd947e1a7598b1a8be25#rd,2025/12/17 16:54,Highway construction and management system project based on big data cloud computing
基于语义智能的网络信息内容生态治理,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498826&idx=1&sn=b7dc3196fd167e9451d95d026d2a139e&chksm=cfb79b0ff8c01219af26407e92be3e5edccf5ed3621d1d0aaa2db90286b76014604e00ea384f#rd,2025/12/16 16:58,Ecological governance of network information content based on semantic intelligence
高通量细胞多参数成像分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498782&idx=2&sn=23cf9eefe226deb6bbd58b3d31c1cb1e&chksm=cfb79b5bf8c0124d85ee3c8aa666386ba6764e2d388d98113a6b8a478841a23a641dff6b3a51#rd,2025/12/12 17:22,High-throughput cell multi-parameter imaging analyzer
小型化数字全息显微仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498737&idx=1&sn=f701b871b5c7fece25a42feb87d9a6d0&chksm=cfb79cb4f8c015a27bdfe7ed3f76fe76f476e7c3adf3ba9e5fc312f460089ece76626b34c054#rd,2025/12/11 16:51,Miniature digital holographic microscope
针对析氢电极表面微结构的飞秒激光微纳制备技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498735&idx=1&sn=b9b323cde97ba7f27574f1747af7dbb2&chksm=cfb79caaf8c015bc2640604085083cc9d7e4cf3c415cd7206e093bf8e20cdbbb8eba47985535#rd,2025/12/10 15:59,Femtosecond laser micro-nano preparation technology for hydrogen evolution electrode surface microstructure
系列化高精度光学气体分析模组与仪器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498733&idx=1&sn=9ca3812f8e8c4642b4efaae2f50e9710&chksm=cfb79ca8f8c015bef658c4ebd5e1304a0ab29d96ee6762022358fdae48491ed8e94b8ea76758#rd,2025/12/9 15:58,Serialization of high-precision optical gas analysis modules and instruments
基于锋芒光束的复杂介质光通信系统研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498731&idx=1&sn=d527dbdaa5cee1a224cdd1d5cdd70278&chksm=cfb79caef8c015b8273c5f840830f8e06976b525bea6ef1a020600df423c2dc3b0f2b3aafcd4#rd,2025/12/8 16:24,Research on complex medium optical communication system based on sharp beam
高精度温室气体光声光谱在线监测仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498728&idx=1&sn=bfc118125a70f28a13720704475d9dc8&chksm=cfb79cadf8c015bba3fe815184605dbad6b2e3ef6880318f7a7598ae3e2688d8d0bce918e917#rd,2025/12/5 16:50,High-precision greenhouse gas photoacoustic spectrum online monitor
高精度集成成像3D显著目标检测与重建,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498725&idx=1&sn=dc4516eff893658780690d533e72559f&chksm=cfb79ca0f8c015b6e751713578502ab5ac6e8c6c389c4dfb22fc92626622610fcf0af2f5294d#rd,2025/12/4 16:35,High-precision integrated imaging 3D salient target detection and reconstruction
飞秒光参量振荡器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498722&idx=1&sn=604565ac16d16fddc5073c94263c8b79&chksm=cfb79ca7f8c015b1f012273255bcc670653e7b1bf9628a304a90a0e0b00d2bea1e8c08e0f905#rd,2025/12/3 15:01,Femtosecond optical parametric oscillator
微型纳秒激光器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498720&idx=1&sn=a6b243d449ca160d4e20ff037db9db3e&chksm=cfb79ca5f8c015b3c808a3e4fe617c934a5721a75ade6c4eca524b66f8f7bf90b1557d2b3f80#rd,2025/12/2 16:35,Micro nanosecond laser
激光光谱智能分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498718&idx=1&sn=9335e84f89507b266e6b009b4dbfe878&chksm=cfb79c9bf8c0158dce812fd966814b6f5a2f75e446345e5ee14a73b26b325ed0dae785142e36#rd,2025/12/1 16:05,Laser Spectrum Intelligent Analyzer
高精度防爆式气体光电检测设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498716&idx=1&sn=823d64c9a53c01ab7506580e6c471e68&chksm=cfb79c99f8c0158fd559b9e58494fa94b47e0de761560563fd4516a346ddf93f9f7c3540cbee#rd,2025/11/28 18:09,High-precision explosion-proof gas photoelectric detection equipment
传输机皮带光电一体智能无人值守检测装置,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498714&idx=1&sn=2ca8ac5f84c793e803fd42e2c1072cde&chksm=cfb79c9ff8c015894687259de93742b9d45f7d8fc329567c01b7c1038c49ce1cefbe52d07e29#rd,2025/11/27 13:57,Conveyor belt photoelectric integrated intelligent unattended detection device
高功率全固态飞秒激光器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498712&idx=1&sn=0b659f726718adc8fe0b1ec19fb85d57&chksm=cfb79c9df8c0158bcd977766079c8efb90dc926b8911592dc5df4d87a82452dab6f54144ae7e#rd,2025/11/26 16:04,High-power all-solid-state femtosecond laser
裂纹动态扩展视觉检测设备研发及产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498699&idx=1&sn=47503bc17f196e29d123e0b4808a6181&chksm=cfb79c8ef8c01598d54850731511563c20a6fe97c598332730dfbe87f6480b0f6a0aba0615f2#rd,2025/11/24 14:38,R&D and industrialization of visual inspection equipment for crack dynamic expansion
非接触式半导体电学参数与缺陷检测设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498687&idx=1&sn=c8bd843f8164154276a707a5a0de144a&chksm=cfb79cfaf8c015ec3e5ed46cff3140fffa4f515234bdeb51da6aea20b5d9ca9d87bad3a247f3#rd,2025/11/20 16:16,Non-contact semiconductor electrical parameters and defect detection equipment
用于智能装配与健康监测的多功能柔性传感技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498683&idx=1&sn=7bf2ee3adf93b83a228a332b31f41930&chksm=cfb79cfef8c015e8179d55a853b237ff6fa20873a1a04b1b96c9b7384b1441ad166d39407939#rd,2025/11/19 16:16,Multifunctional flexible sensing technology for smart assembly and health monitoring
面向喉部康复监测的柔性集成智能感知技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498681&idx=1&sn=aac2e718809ff6a5f404dd052a0a6f88&chksm=cfb79cfcf8c015ea2aa336b3c8d8e5634aa6767b7586c7169882fa9f0fcab41292e59731a8f6#rd,2025/11/18 16:07,Flexible integrated intelligent sensing technology for laryngeal rehabilitation monitoring
Ka 频段立方星伞状可展开天线,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498679&idx=1&sn=74326c0003c06c4579f1fc11eb81a1e4&chksm=cfb79cf2f8c015e45b6ae4d8a4b7d9ebfa4e05f89c06367266fa9bfc191d8d2350b0559fe019#rd,2025/11/17 16:10,Ka-band cubesat umbrella-shaped deployable antenna
集成电子快速成型的研发,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498677&idx=1&sn=fb8f0d76f68d8920caf9646c2114fbd9&chksm=cfb79cf0f8c015e6527ca25cd13974fa03dbb2ab3369ba395a73d2b3396547b89029bc58343e#rd,2025/11/14 15:58,Research and development of integrated electronic rapid prototyping
“智道”- 轨道交通自动巡检机器人系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498675&idx=1&sn=28c74089a877fd82468570f770d2d926&chksm=cfb79cf6f8c015e0e3f31613efa7b24f7413622d4aecbe010abd2192a5e3599ad45789fd0872#rd,2025/11/13 15:45,"""Zhidao"" - rail transit automatic inspection robot system"
智能物联网感知与测试,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498673&idx=1&sn=066bd01ef423feee4d5f0b7615894488&chksm=cfb79cf4f8c015e231332f6b1e22fc83be453f064980c9d7b0c450fb6356a6706fe436db18e2#rd,2025/11/12 17:00,Intelligent IoT sensing and testing
大型环保微波烘干生产线,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498659&idx=1&sn=b901ad5d058999a5b843b71871c09834&chksm=cfb79ce6f8c015f0a72d4e2a6f680f4453527374ac4f50a46a767b16ff2ee317aa3bd8869fb7#rd,2025/11/11 15:28,Large environmentally friendly microwave drying production line
面向多源信息融合的电力电缆状态诊断技术及应用,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498657&idx=1&sn=039c688692a8c7403582f4b6c6439f45&chksm=cfb79ce4f8c015f2df38308281eb536362c4c81b5f6195564e17a44b40a846cdce15f5dea3b5#rd,2025/11/10 15:16,Power cable status diagnosis technology and application for multi-source information fusion
高温无霍尔直流电机伺服微驱动器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498655&idx=1&sn=69cea233d514cb4130d1fd22482a0fb1&chksm=cfb79cdaf8c015ccc3a0d0cb5a3dad68cf76a892011551c6852310bc7e9a2a25cdf1a298f65e#rd,2025/11/7 16:59,High temperature Hall-free DC motor servo micro driver
基于 PXIE 接口的小型矢量网络分析仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498653&idx=1&sn=3a416516228316b685e2016cb4909c12&chksm=cfb79cd8f8c015ceb47cd0b9b9447c64179a0ac7ad048c13d2b450f107cd587e833c8fa001dc#rd,2025/11/6 15:38,Small vector network analyzer based on PXIE interface
工业机器人高保真数字孪生及其故障诊断系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498651&idx=1&sn=da5e98be5273bb09083db8eed5772416&chksm=cfb79cdef8c015c89a03877f47ffaf0adb48b8f030945bcf23fa678c63b5bf20475bed9e7307#rd,2025/11/5 16:08,High-fidelity digital twin of industrial robot and its fault diagnosis system
换热器的研究与设计方法,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498649&idx=1&sn=da26dc048f81128dedf5f3f3001d28eb&chksm=cfb79cdcf8c015cadce98c1f8c940c90875cfc7e49d0b91853e4a25a3f1a7af64ab6a6423503#rd,2025/11/4 14:31,Heat exchanger research and design methods
动力电池系统耐久性快速评价技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498647&idx=1&sn=a65bdd5755017da6b9682268110d7eb1&chksm=cfb79cd2f8c015c4f644a254ea2951d2295ae3ea9e0d73a8f6e89ea896dad1637184e130aeb6#rd,2025/11/3 14:22,Power battery system durability rapid evaluation technology
生成式大模型的安全性加固系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498643&idx=1&sn=0faa6badf852891d038f7f5b9fb2672d&chksm=cfb79cd6f8c015c0e92a849fa12b5ca2c53a313fb10c338cccadd0c7223706e92f22caa5dd69#rd,2025/10/30 16:25,Security hardening system for generative large models
自主可控输入输出设备关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498640&idx=1&sn=eebf8db6aeae388df1e44722f528f406&chksm=cfb79cd5f8c015c31432cf8d5b58ac40d2268743dde07615897c4075b89b01816e297a797c85#rd,2025/10/29 14:57,Key technologies for independent controllable input and output equipment
超声波深井侧壁检测设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498636&idx=1&sn=b985d5cb10e9786ca4c4ef4b83eaf918&chksm=cfb79cc9f8c015dfd412ad298bb3825141eb9cc8fb94305bb36f89d60c61d1763722f3a22d30#rd,2025/10/28 15:50,Ultrasonic deep well sidewall inspection equipment
室内移动目标轨迹定位探测雷达传感器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498634&idx=1&sn=d811ad4491d00b0671dc42fb1af8342e&chksm=cfb79ccff8c015d97f5c2b8886a6483220d884b610615224603099a350fcd24ad9c4beca1e64#rd,2025/10/27 16:07,Indoor moving target trajectory positioning detection radar sensor
智慧哨兵系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498626&idx=1&sn=2fea28111a291c09fb11bda3f91363ee&chksm=cfb79cc7f8c015d1f2515965da3ab7394e38ae2d0f47df5a5d99d880b21d986e23663b9c550b#rd,2025/10/23 16:28,Smart Sentinel System
面向磁地图可信定位系统的高精度磁探仪,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498624&idx=1&sn=a0ea70447c00c7bbc39df41b43a48969&chksm=cfb79cc5f8c015d37cbff7450d63d063e7dded6fb9d9fafbf043417d8ccddf01904730ba2c90#rd,2025/10/22 17:16,High-precision magnetic detector for magnetic map trusted positioning system
基于跨域重建成像的稀疏样本分布空间雷达目标增强识别方法,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498618&idx=1&sn=8dd789f6a5909fb59e61c69323bc9684&chksm=cfb79c3ff8c01529c4f8fefcfcadf5efe8e5f5c52156ec6dbb4cd244836aec39d2cbb32cf2e3#rd,2025/10/20 16:03,Enhanced recognition method of sparse sample distribution spatial radar targets based on cross-domain reconstruction imaging
毫米波雷达目标跟踪和分类技术研究合作项目,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498595&idx=2&sn=dc13121d3e8f8fa55d5a0014a5eba7aa&chksm=cfb79c26f8c015300eb01d6954b750c136360ee00dd66f289bb66913fc1c9b55ee1cce68c7e2#rd,2025/10/17 17:06,Millimeter wave radar target tracking and classification technology research cooperation project
HY 行动 - 低成本三坐标小型监视雷达,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498552&idx=1&sn=29948d4ad93712c5bafe7ee66d9c51ea&chksm=cfb79c7df8c0156b72786d2a226a0bfbd77fc3c1a35fcc62e75dda38298804f90ee91d44a53e#rd,2025/10/16 17:29,Operation HY - low-cost three-coordinate small surveillance radar
智能化对抗决策控制系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498550&idx=1&sn=6cab8764d8bc0516b3a2a17b284ea717&chksm=cfb79c73f8c01565d8ed4120381de85731cd65995b2606277914e7691fafcdec323876f1aed9#rd,2025/10/15 16:48,Intelligent confrontation decision-making control system
新型电磁波调控理论及天线阵列应用研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498545&idx=1&sn=691f8b44e9e7f156e6d3d6e7172302c4&chksm=cfb79c74f8c015627c05830fb56a3e49f7a28493d2aaf636225ac43280b9164f0be5c9d26061#rd,2025/10/14 15:46,Research on new electromagnetic wave control theory and antenna array application
低比吸收率与高头手模效率终端天线,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498542&idx=2&sn=f1b7a574b3385e57cac843a6813174d9&chksm=cfb79c6bf8c0157d0ed9de485d4474d2b10141b434fad03d74a1c53a48fb756bb3bdc62085c9#rd,2025/10/13 17:19,Low specific absorption rate and high hand mold efficiency terminal antenna
卫星物联网超窄带群路解调系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498534&idx=1&sn=c9dd7bb6e2dad1d45d6531e8289eec0f&chksm=cfb79c63f8c01575e11130f9000e900f81fce8f59972e4cdd7f3593d3f00df414fbaa737ff09#rd,2025/10/11 15:39,Satellite IoT ultra-narrowband group channel demodulation system
NR-NTN物理层传输评估设备,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498531&idx=1&sn=49b6aee20832fa1da165f9c63e47f597&chksm=cfb79c66f8c01570b29b8e6af5da67cdf74d6a6d34a1ae510ef5af7226f231d9ec944e9b4d8b#rd,2025/10/10 16:30,NR-NTN physical layer transmission evaluation equipment
适配线控底盘的智能便携无线方向盘研发与产业应用,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498526&idx=1&sn=88ed3df005b029c122dfef88e7c6f079&chksm=cfb79c5bf8c0154d11d869c73c589960762be7fae40db5f67ff9226c6e2c60f1173ee85df12e#rd,2025/10/9 17:21,Research and development and industrial application of intelligent portable wireless steering wheel adapted to wire-controlled chassis
智能电网 CPS 网络安全防护关键技术研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498515&idx=1&sn=b8eab3ff335161351e6f99f65263e4bd&chksm=cfb79c56f8c01540c83d8bde5aba55fb03234d52a99212d6b8fc5a636e334eb87da86be51138#rd,2025/9/30 16:49,Research on key technologies for smart grid CPS network security protection
星间组网通信终端,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498513&idx=1&sn=bc940be0bd9b9cc918d1932b7653e0bb&chksm=cfb79c54f8c0154230608df7bd5d8ddc8b7db16a08e9889bade13ae316c989bacdabb78007de#rd,2025/9/29 17:10,Inter-satellite networking communication terminal
面向异构数据中心的分布式机器学习高效运行方法研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498505&idx=1&sn=e232a1098e26cf697acf3f2604c507f1&chksm=cfb79c4cf8c0155a0445eeb340976bf0da571a814b0bbbdbafec52fb27b9c6f7e542dfb642d0#rd,2025/9/26 16:03,Research on efficient operation methods of distributed machine learning for heterogeneous data centers
基于路由交换的异构计算系统算力扩展,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498503&idx=2&sn=702fb51f243c8162b033a8269ef8fabf&chksm=cfb79c42f8c015541206afc9133b3fdf68c11ecde4160370784c4a52cb00fa478f939cea223f#rd,2025/9/24 17:28,Computing power expansion of heterogeneous computing systems based on routing and switching
基于北斗通信的高精密阀门远程控制器,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498455&idx=2&sn=ddc8b2884fe275af356c353bfe1c7bd9&chksm=cfb79d92f8c0148432b4ff93c072b1913609d9e89b69b22dad1e83f2a11fbb8557336b16a2c7#rd,2025/9/22 16:16,High-precision valve remote controller based on Beidou communication
智能化可演进网络关键技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498439&idx=1&sn=6fb2e01a36ec4dd962c41a467b4de472&chksm=cfb79d82f8c01494e338cf6d064cc473681a0f69cab1494e4e2fbc9d512bad9f61dba0376278#rd,2025/9/19 15:23,Key technologies for intelligent and evolvable networks
面向数据密集型应用的扁平化、低时延、可重构光电混合互连系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498435&idx=1&sn=638cb1e4190f2420bf0a3025afd19275&chksm=cfb79d86f8c01490c363a606f9a0e001b8c2583f13d588605010067b674b9d7e5628b324238f#rd,2025/9/19 15:19,"Flat, low-latency, reconfigurable optical-electrical hybrid interconnection system for data-intensive applications"
“一触迹发”,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498431&idx=1&sn=7dd33ab2b54cce9b0356edd575ce955c&chksm=cfb79dfaf8c014ecb515a1768bf1275b3ae2cc9c44f116b895bbd600cf9039b0b26b36d5b98c#rd,2025/9/19 15:03,"""At the touch of a button"""
卫星集群仿真应用开发平台,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498426&idx=1&sn=12a420845ea2eeee4c62f1fc30991b7c&chksm=cfb79dfff8c014e95b60a56dd77d079c5641a8106c6d317bebcd3e4315dac9751d10eb4530e2#rd,2025/9/18 15:28,Satellite cluster simulation application development platform
多波束 / 涡旋波束天线技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498424&idx=1&sn=f10df295524e343d02c32f0bee403881&chksm=cfb79dfdf8c014ebece90b1c4e1e28129f05b129c80cced8731d90627c6fc3c13d1b1886505b#rd,2025/9/17 15:57,Multi-beam/Vortex Beam Antenna Technology
跨域人脸图像重建,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498422&idx=1&sn=6663495db60570cc3ee03117f13eace2&chksm=cfb79df3f8c014e56e8e86cc579d7b8329c813bca2f925d2e66773afd81e7e30be1f48680751#rd,2025/9/16 15:46,Cross-domain face image reconstruction
时间敏感网络原型与验证系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498418&idx=2&sn=443ad7ba09e4aaa73b19e05cc9758567&chksm=cfb79df7f8c014e112bc1950761e185d9b977463e61d17e05648c6606050cdbd940caa5def65#rd,2025/9/15 16:40,Time-sensitive network prototyping and verification system
全场景物联和无源物联网技术,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498402&idx=1&sn=23a62e9d3cc4b314ec113cba63ea281f&chksm=cfb79de7f8c014f1788b0c3222633e882273081d74687644e327d75425c0a3eec119771fcac7#rd,2025/9/12 16:27,Full-scenario IoT and passive IoT technology
面向 VR/AR 的高性能全彩 micro-LED 近眼显示,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498398&idx=2&sn=221c296329adaad6a2cf8dcaefba82e8&chksm=cfb79ddbf8c014cd20df266d89f078364e3eb5c8bd5376985f54d7af3ce770ec1a57dddab9f5#rd,2025/9/11 17:00,High-performance full-color micro-LED near-eye display for VR/AR
SiC 新型功率 MOS 器件结构以及栅驱动电路的设计与研究,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498342&idx=1&sn=fb87e5fd641e363153aaf72ed6155f1c&chksm=cfb79d23f8c0143592fef1cabc3b1a98019606dce2d0037737aa68fe792827c66827e4c9ef2f#rd,2025/9/9 16:16,Design and research of new SiC power MOS device structure and gate drive circuit
跨媒体医学影像智能解译系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498334&idx=1&sn=edc937ae247b0173a1d84be95f0f026f&chksm=cfb79d1bf8c0140d8756a45374f9ce52c4e6d9f918b30b2aab992accf0951eecfb5031117b5f#rd,2025/9/8 15:35,Cross-media medical image intelligent interpretation system
ZL-MOVE 卷积神经网络处理器及其开发系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498330&idx=2&sn=d2bedb92b2564749d7c960086605a390&chksm=cfb79d1ff8c01409a9f881bad0bc3d2cb189eaa24161dbebd1d51453beb06cd408b38bfe5837#rd,2025/9/5 16:51,ZL-MOVE convolutional neural network processor and its development system
生物特征数据安全处理系统,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498315&idx=1&sn=62a5e36c40b112a0ca786415ca773e9f&chksm=cfb79d0ef8c0141805e484b8c2d6942333abe3da26a08aa7b2616160675a03652e03db7c38b4#rd,2025/9/3 14:57,Biometric data security processing system
廉价航班化航天运输推进系统产业化,http://mp.weixin.qq.com/s?__biz=Mzg4NDYzNDE1NA==&mid=2247498312&idx=1&sn=a26c7af594ef433b0c7e4cf2399646ce&chksm=cfb79d0df8c0141ba7658124a38193a554bd6e9927f411d5c5bac140b644039da72148c6da57#rd,2025/9/2 15:47,Low-cost flight-based space transportation promotes the industrialization of systems
